action	file	line_range	quote_or_candidate	reason
add	001.1958年6月.txt	195	昔为座上客，今为阶下囚	传统成句，独立性强，非政治语录。
add	001.1958年6月.txt	529	有功德于民	《礼记》成句，首轮同段已收《大戴礼记》文句和道教成语，校对轮补入此独立经典短语。
add	004.1958年9月.txt	53-57	人间有湖滨，\n湖滨亦人间。	翁见李敖桌上诗句后留言，两句完整，按朋友留言诗补入。
add	005.1958年10月.txt	143	一个女人对一个男人可能影响一生，可是一个男人之于一个女人，离开后，她不是为他立刻自杀，就是在一个月后把他忘得一干二净了。	原文以“这是谁说的？”标出为无名格言，非李敖自作。
add	005.1958年10月.txt	145	女人就是这样一种动物，你无论给她什么，她都能穿在身上。	周弘语，句式完整，可独立作俏皮格言。
add	006.1958年11月.txt	35	好快刀	金圣叹临刑轶语，原文明确转述，非政治语录。
add	006.1958年11月.txt	37-41	密斯小姐多多有，\n补考重修样样无。	彦增题春联，两句完整，延续朋友题诗题联的收录口径。
add	006.1958年11月.txt	311	话不投机半句多	传统俗语，原文直接转用。
add	006.1958年11月.txt	315	新官上任三把火	传统俗语，原文作为成句转引，非具体政治语录。
add	007.1958年12月.txt	45	总之，从事呼拉圈运动，如果累到气喘如牛、肌肉酸痛的那种程度，那对任何人身体都是有害的。	胡振华医师语，属于非政治的现代健康警语。
exclude	001.1958年6月.txt	257	上帝要毁灭谁	原文只以残片举例说明“几句名言”，未给出完整格言，暂不补入。
exclude	002.1958年7月.txt	205	维护和促进民主，不可缺少政治自由和思想自由。	Stanley Baldwin 民主政治句，首轮已按政治语录排除，校对轮继续排除。
exclude	001.1958年6月.txt	447-489;537;609-631	张天师、孔圣问题、反共宣传和世袭制度相关引文	现代制度、预算、反共、世袭和报刊事件语境，按政治/事件语录排除。
exclude	006.1958年11月.txt;007.1958年12月.txt	181-221;261;347;215	《乌来观瀑诗》《观瀑打油诗》《毛毛诗》等	李敖自作诗文，不作为外部引用收录。
exclude	007.1958年12月.txt	15;337;379	演员自述、Robert Clive 父亲笑语、周弘私人评语等	普通轶事或私人评价，未形成诗文格言口径。
exclude	007.1958年12月.txt	339	逮哈斯丁斯（Warren Hastings）继克莱武而始为印度总督，采激进之征服政策。	殖民征服政策史论，校对轮只保留同段独立的陆游诗句。
exclude	006.1958年11月.txt	45;57;79;385;641	朋友、同学、胡适对李敖的日常评价或对白	私人场景依附过强，非可独立诗文格言。
exclude	007.1958年12月.txt	327	大学为自由研究学术之地，研究之方法亦各自由。	李敖为交卡片自写的学术自由句，且带教育制度争论语境，不补入。
