action	id_or_source	quote_text	reason
before			28
removed	LALDHTF-002	Fine. I think I'm making an ass of myself.	英文漫画双关只是段子包袱，且所在章节转入现代政治讽刺，校对轮不作为诗文格言保留。
removed	LALDHTF-017	慎终追远，缅怀祖德	出自祭黄陵政治报导语境，是现代官方祭祀套语，校对轮按政治语境从严删去。
removed	LALDHTF-019	将飞者翼伏，将奋者足局	虽似古语，但本处由蒋介石政治讲词转出，服务于外蒙古与联合国语境，校对轮删去。
removed	LALDHTF-021	还没升空世已惊，老子机票全不送	李敖就长荣航空利益争议写的时事打油句，属于现代商业政治攻防，不收。
removed	LALDHTF-025	自己只要站的稳，不怕别人说闲话	长荣方面对外解释语，近于企业公关表态，虽可泛用但不是清洁的诗文格言引用。
removed	LALDHTF-026	在五十四号牢房里，我领悟到一件事情，就是去重视那种内在的成就，那种内在的成就能维持一个人内心的均衡，并帮助一个人对他自己忠实。除非他先对自己忠实，才会有人对他忠实。	出自萨达特自传并用于现代政治人物对比，校对轮按政治人物语录删去。
added	《李登辉的真面目》引言.txt:7-7	俟后世圣人君子。	首轮保守收入：本书为现代人物政论集，党派、总统、国族、选举、司法、航空公司利益和现代政治攻击语录一律不收；只保留可脱离政论语境的古典引文、礼俗考证、人物品格评语、文学诗句、语言格言、少量生活/研究方法句。 校对轮补入：句子本身是古文成句，可脱离本书政论语境独立引用。
added	007.李登辉的亡国动作.txt:15-15	风恬浪静可行船，恰是中秋月一轮，凡事不须多忧虑，福禄自有庆家门。	首轮保守收入：本书为现代人物政论集，党派、总统、国族、选举、司法、航空公司利益和现代政治攻击语录一律不收；只保留可脱离政论语境的古典引文、礼俗考证、人物品格评语、文学诗句、语言格言、少量生活/研究方法句。 校对轮补入：只收签诗文本，不收同段关于选举的解释。
added	008.李登辉无人君之风.txt:3-3	魏王雅望非常。然床头捉刀人，此乃英雄也！	首轮保守收入：本书为现代人物政论集，党派、总统、国族、选举、司法、航空公司利益和现代政治攻击语录一律不收；只保留可脱离政论语境的古典引文、礼俗考证、人物品格评语、文学诗句、语言格言、少量生活/研究方法句。 校对轮补入：古代人物评语，非现代政治语录。
after			25
