file	rows	candidate_lines	risk_candidate_lines
《李敖书翰集》目录.txt	0	6	0
001.给YS论做主婚人之不当.txt	0	4	0
002.回信给中央研究院的一员.txt	1	14	1
003.旧信劫遗.txt	6	107	8
004.回宗勋.txt	0	4	0
005.九头鸟之恋.txt	1	27	2
006.斥佞佛参禅.txt	0	2	0
007.什么叫“理来情无存”？.txt	5	12	0
008.给李声庭的四封信.txt	3	11	0
009.给殷海光的六封信.txt	7	35	5
010.一九六五年五月四日.txt	3	12	4
011.我们要像清除恶人一样的清除烂好人.txt	5	5	1
012.家报之一.txt	0	1	0
013.给曹毓煜的信.txt	0	3	0
014.有关“李敖告别文坛十书”的一封信.txt	0	17	0
015.买书会不会上当.txt	0	2	0
016.论好人做事与不做事.txt	1	2	0
017.手淫否答胜英.txt	0	2	0
018.回林枕客论中国手淫材料及其他.txt	0	4	0
019.为自来水而战.txt	0	5	0
020.又是情书.txt	16	44	2
021.论打官司的必要.txt	0	7	3
022.论扒粪精神.txt	0	4	0
023.论正视.txt	2	6	0
024.刁民万岁.txt	0	5	2
025.铭传商专与铭传殡仪馆.txt	0	7	0
026.“特别座”和“普通座”.txt	4	20	0
027.文化基金·别人·我们.txt	3	14	0
028.《烟锁重楼》之外.txt	3	22	0
029.致王兆民先生.txt	3	20	4
030.文学院黑暗的又一例.txt	1	4	0
031.给邮政总局局长.txt	0	0	0
032.论婚变答汪中磊.txt	1	3	0
033.中国电影，看剑！.txt	11	22	0
034.旧信一集.txt	1	22	3
035.资料贩子的两封信.txt	0	12	0
036.致老太.txt	0	0	0
037.软禁中的通信.txt	0	23	4
038.讽韦政通.txt	7	5	1
039.致黄三、继梅.txt	0	6	1
040.致李善培.txt	0	4	0
041.致梁容若.txt	2	5	0
042.回CY的信.txt	2	22	0
043.回LHH和CP的信.txt	3	8	0
044.回WJJ的信.txt	4	9	0
045.读《窗外》的一条笔记.txt	0	13	0

validation_errors	0

uncovered_candidate_lines	514

proofread_removed	16
id	source_file	line_range	category	quote_text	reason
LASHHJ-0003	003.旧信劫遗.txt	141-141	文字评论	死文字	仅为“死文字”短标签，已由后一条完整文字观表达承载。
LASHHJ-0019	009.给殷海光的六封信.txt	41-41	诗句引用	昔何英勇今何怯	诗句被用于现代公共人物与刊物语境的评价，校对轮按政治相关语境删除。
LASHHJ-0047	020.又是情书.txt	63-63	文学典故	异乡人	仅为书名式文学 allusion，独立诗文格言价值不足。
LASHHJ-0049	020.又是情书.txt	79-79	西方诗句	With you a part of me hath passed away!	与后续桑塔亚纳整首英文诗首句重复，保留完整诗作即可。
LASHHJ-0054	023.论正视.txt	11-11	人生短语	“正视”人间	仅为短碎论点标签，且原文处在社会批评语境，独立格言价值不足。
LASHHJ-0060	027.文化基金·别人·我们.txt	19-19	譬喻短语	雪中送炭式	只是基金资助类型标签，非独立诗文格言。
LASHHJ-0061	027.文化基金·别人·我们.txt	21-21	譬喻短语	锦上添花式	只是基金资助类型标签，非独立诗文格言。
LASHHJ-0063	027.文化基金·别人·我们.txt	29-29	治学格言	私人的财力不该用来对学术界“普渡众生”	文化基金与学术资源分配论断，偏公共制度建议，校对轮删除。
LASHHJ-0064	027.文化基金·别人·我们.txt	29-29	成语化短语	脱颖而出的出类拔萃人物	成语堆叠式短语，独立检索价值不足。
LASHHJ-0067	027.文化基金·别人·我们.txt	37-37	文化格言	真正成功的文化基金会，绝不是止于“奖金”或“讲座”就算了事，它一定要朝“更吃力的”方向发展。	文化基金运作建议，偏公共制度判断，不纳入诗文格言表。
LASHHJ-0090	038.讽韦政通.txt	35-35	思想格言	在历史上，搞思想工作，很少不造孽的，不禁时时以此为戒。	关于“思想工作”的历史判断，公共思想语录色彩较重，校对轮删除。
LASHHJ-0098	041.致梁容若.txt	13-13	古籍引用	恶紫，以其乱朱也！	《论语》句被直接用于党派人物攻击语境，按政治语录相关删除。
LASHHJ-0104	043.回LHH和CP的信.txt	9-9	时代短语	躐等的时代	短碎时代标签，独立诗文格言价值不足。
LASHHJ-0106	044.回WJJ的信.txt	9-9	爱情短语	情圣	仅为爱情称谓标签，非独立格言。
LASHHJ-0107	044.回WJJ的信.txt	9-9	爱情短语	情棍	仅为爱情称谓标签，非独立格言。
LASHHJ-0111	044.回WJJ的信.txt	9-9	爱情短语	真狗屁呀！真狗屁！	粗口式短句，独立诗文格言价值不足。
