action	target	source_file	line_range	quote_or_candidate	reason
add	LAWWRJ-001	001.1990年4月.txt	23-23	世风日下	以世道风气衰落概括出版与读书环境。
keep	LAWWRJ-002	003.1990年6月.txt	269-269	其争也君子	用古典成句形容争论虽激烈而仍有风度。
keep	LAWWRJ-003	006.1990年9月.txt	203-203	食色性也。	李敖拈出电视谈话中的误引，保留原成句。
keep	LAWWRJ-004	009.1990年12月.txt	111-111	天时不如地利，地利不如人和	读者来信以孟子成句说明办报处事须重人和。
keep	LAWWRJ-005	009.1990年12月.txt	115-115	人无十全，瓜无滚圆	读者来信以俗谚劝人换角度看人。
keep	LAWWRJ-006	009.1990年12月.txt	159-159	我爱明月光，更不想什么。月可使人愁，定不能愁我。	胡适以明月写自我心境，带有诗性短句性质。
keep	LAWWRJ-007	009.1990年12月.txt	161-161	爱情的代价是痛苦，爱情的方法是要忍得住痛苦。	以痛苦与忍受概括爱情经验。
keep	LAWWRJ-008	009.1990年12月.txt	163-163	每天有六小时的睡眠就够。……我终觉得这么静的夜去睡觉太可惜了，多做点工作，好玩。	胡适谈睡眠、夜间工作与做事乐趣。
keep	LAWWRJ-009	009.1990年12月.txt	165-165	我……承认青年人多数不站在我这一边，因为我不肯学时髦，不能说假话，又不能供给他们“低级趣味”，当然不能抓住他们。	胡适以不学时髦、不说假话解释自己不能迎合青年。
keep	LAWWRJ-010	009.1990年12月.txt	167-167	我自称是无神主义者。	胡适以一句概括自己的宗教立场。
keep	LAWWRJ-011	009.1990年12月.txt	169-169	我写文字，无论中文英文，都很迟钝。……其实我的长处正在于“文思迟钝”，我从不作一篇不用气力的文字。	胡适以文思迟钝说明写作须费力经营。
keep	LAWWRJ-012	009.1990年12月.txt	171-171	要记得，作文章切莫要借题发挥！	胡适以短句提醒作文不要借题发挥。
keep	LAWWRJ-013	009.1990年12月.txt	173-173	“全盘”的意义不过是“充分”而已。……说“全盘西化”，不如说“充分世界化”。	胡适解释全盘西化的语义，转为充分世界化。
keep	LAWWRJ-014	009.1990年12月.txt	177-177	要堂堂的生，莫狼狈的死。	以堂堂生、莫狼狈死概括生死态度。
keep	LAWWRJ-015	009.1990年12月.txt	185-185	……过了双十节，你来玩玩，好不好？现在送上一千元的支票一张，是给你‘赎当’救急的。你千万不要推辞，正如同你送我许多不易得来的书我从来不推辞一样。……	胡适来信以赎当救急并化解受助者推辞，显出书信中的体贴。
keep	LAWWRJ-016	009.1990年12月.txt	189-189	交友以自大其身，求士以求此身之不朽。	以交友和求士说明扩充人格与追求不朽。
keep	LAWWRJ-017	009.1990年12月.txt	429-429	实事求是	新闻报道中称李敖以此为原则并用于办报命名，只收成语本体。
keep	LAWWRJ-018	012.1991年3月.txt	251-251	放下屠刀，立地成佛。	李敖以佛教成语反驳假道学式信佛说法，只收成语本体。
exclude	fake_private_letter	001.1990年4月.txt	43	少女情怀总是诗	假贺卡中的套语，私人玩笑语境且出处不明，不作独立引用。
exclude	modern_political_quote	001.1990年4月.txt	51	总统决定我担任什么工作，我就遵从。人事布局上需要我退休下来，我也很愿意。	现代公共人物政治职务发言，排除。
exclude	modern_news_prose	002.1990年5月.txt	149	长跑对我的影响节录	现代报纸个人文章长引，非诗文格言主线，暂不收。
exclude	self_joke	003.1990年6月.txt	279	此情不渝、据理力争、依法解决。	李敖自况式玩笑，非外部引用。
exclude	modern_political_quote	005.1990年8月.txt	25-27	我头一次听到这种说法 / 假设性的问题，我没办法回答	现代政治人物新闻发言，排除。
exclude	modern_political_quote	005.1990年8月.txt	133-141	戈尔巴乔夫法令与民主、法治相关语	现代政治改革新闻语录，排除。
exclude	self_political_quote	006.1990年9月.txt	85-103	靠一支笔打出天下 / 我不会给国民党做打手 / 国民党拥有的权力太多太大了等	现代政治自述和政治评论，排除。
exclude	modern_media_comment	006.1990年9月.txt	207-211	事物意义永远比它显现的还多 / 什么人在与我们谈情论性、指天道地	现代媒体评论语句，出处与格言属性不明，暂不收。
exclude	modern_human_rights_context	008.1990年11月.txt	145-267	林麦尔、台湾人权与出入境相关采访	现代人权与政治事件报道，排除。
exclude	self_statement	009.1990年12月.txt	59-65	今天之得奖，是错了，不算！ / 伏尔泰所有的幸运，李敖都没有。	李敖自况，且与政治限制出境报道相连，排除。
exclude	reader_political_advice	009.1990年12月.txt	109-125	什么样的人玩什么样的鸟 / 你不保护自己，谁保护你 / 大师级的李敖就是与众不同	读者来信中的报业政治建言和现代赞语，排除。
exclude	hu_shi_political	009.1990年12月.txt	175	共产党……为了一个永远不会实现的想象去屠杀生灵，去叫整千整万的生灵吃苦！	《胡适语粹》中的政治意识形态条目，排除。
exclude	modern_person_praise	009.1990年12月.txt	189	台湾有一位年轻的朋友李敖先生，他所知道的有关胡适的事比胡适自己还清楚	现代人物评价，非格言主线，暂不收。
exclude	political_joke	009.1990年12月.txt	305	贵国领土在我们台湾辖区之内！	现代外交玩笑和政治语境，排除。
exclude	self_or_tv_comment	009.1990年12月.txt	421-435	胡茵梦限于知识层面 / 李敖非常有信心 / 我是好老板，坏工头	电视报道中的现代人物评价和李敖自况，排除。
exclude	private_advice	011.1991年2月.txt	185	你的成绩单就是饭票。	私人家庭教育式对白，非引用。
exclude	self_metaphor	012.1991年3月.txt	143	不必丢了，我自己就是炸弹。	李敖自我比喻，非外部引用。
exclude	reader_political_poem	012.1991年3月.txt	175	天下何处觅奇才，宝岛南迁称无敌。老K棘手民称快，理傲升格泽金华。	读者赞李敖诗带现代政治语境，首轮不收。
exclude	threat_or_political_call	012.1991年3月.txt	243-253	告诉李敖！我要用黑星手枪杀了他 / 你用匪货爱国，又算什么 / 他杀人时，已经是一国领袖……	威胁与政治电话争论，除佛教成语本体外不收。
