action	id	quote_text	reason
before			校对前条目数：119
removed	LAXAJH-001	室内更无人	杜甫诗句被节目解释文字切碎，且源文转写与通行文本有差异，单独保留检索价值弱。
removed	LAXAJH-002	唯有乳下孙	杜甫诗句残片，离开上下文后太短，不宜单独成条。
removed	LAXAJH-003	有孙母未去	杜甫诗句残片，未能形成完整诗句。
removed	LAXAJH-074	我和春天有约	与同源下一条“我与阳春有约”重复，保留较书面的一种译法。
removed	LAXAJH-081	故正义为所夺	训诂说明的后半截，缺少前文“助词之用既多”后不宜独立成条。
removed	LAXAJH-087	及时行事，事半功倍	属于李敖对英文谚语的解释性转述，且已由原译“及时的一针可以省下九针”和俗语“小洞不补，大洞吃苦”覆盖。
removed	LAXAJH-091	陈司败问昭公知礼乎，孔子曰：‘知礼’	《论语》叙事铺垫，格言性弱；保留后面的核心句。
removed	LAXAJH-093	君子亦党乎？	反问残片，依赖前后语境。
removed	LAXAJH-094	孰不知礼？	反问残片，依赖前后语境。
removed	LAXAJH-095	丘也幸	过短残片，不能独立表达完整意思。
removed	LAXAJH-098	若不先度罪苦	佛经条件句残片，已由“众生不成佛……”概括条覆盖。
removed	LAXAJH-099	我终未愿成佛	佛经愿文残片，缺少前置条件，已由“众生不成佛……”概括条覆盖。
removed	LAXAJH-104	有二小儿登吾肩	鸠摩罗什轶事中的情节残片，不属于可独立引用的诗文格言。
removed	LAXAJH-105	天下莫二	人物称赞残片，缺少主语，检索价值弱。
removed	LAXAJH-106	何可使法种少嗣	轶事残片且语境偏生殖叙事，不作诗文格言保留。
removed	LAXAJH-111	自少至老	《宋史》人物叙述残片，缺少独立引用价值。
removed	LAXAJH-112	语未尝妄	人物叙述残片，已由司马光自述核心句覆盖。
removed	LAXAJH-113	吾无过人者	司马光自述的前半截，格言性不如后一条完整。
after			校对后条目数：101
